Name,Release Date,Rating,Genre(s),Platform(s),Theme(s),Keyword(s),Developer(s),Player Perspective,Game Mode(s)
Keepsake County,,,"Shooter, Adventure, Indie","Linux, PC (Microsoft Windows), Mac","Action, Stealth, Comedy","heist, roguelike, driving, cartoon graphics, funny, satire, atmospheric, cartoony, immersive, dark comedy, looter shooter",Forward Instinct,First person,Single player
Freaked Fleapit,,,"Music, Role-playing (RPG), Simulator, Hack and slash/Beat 'em up, Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, steam achievements, rhythm game","Critical Reflex, Finch Bird Studio",Bird view / Isometric,Single player
March March!,,,"Turn-based strategy (TBS), Tactical, Indie, Card & Board Game",,Fantasy,"roguelike, pvp, auto battler",,Bird view / Isometric,"Single player, Multiplayer"
Kingdom Legends: The Fallen Kings,,,"Simulator, Adventure, Indie",PC (Microsoft Windows),"Action, Horror, Thriller, 4X (explore, expand, exploit, and exterminate)","roguelike, building",Mamora.me,Third person,Single player
Walk Hero,,,"Role-playing (RPG), Adventure, Indie","Linux, PC (Microsoft Windows)",Fantasy,"retro, 2d, pixel art, pixel graphics, inventory management, roguelite, auto battler",TERNOX,Bird view / Isometric,Single player
Cleromancy,,,"Tactical, Adventure, Indie","Linux, PC (Microsoft Windows)",,"roguelike, procedural generation, dice, dungeon crawler, roguelite",,"Bird view / Isometric, Side view",Single player
We Survive Tonight,,,"Role-playing (RPG), Simulator, Indie",PC (Microsoft Windows),Action,roguelite,,First person,"Single player, Multiplayer, Co-operative"
Vaultbreakers,,,"Role-playing (RPG), Strategy, Adventure, Indie, MOBA",PC (Microsoft Windows),"Action, Fantasy, Survival","competitive, roguelike, online co-op, multiplayer online battle arena, pve, looter, pvpve, arpg, extraction, extraction shooter, top-down, online pvp",BetaDwarf,Bird view / Isometric,"Multiplayer, Co-operative, Massively Multiplayer Online (MMO)"
Rabbit's Tale,,,"Platform, Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, metroidvania, 2d platformer",Golden Bug Studios,Side view,Single player
Leviathan: Streams of Legends,,,"Real Time Strategy (RTS), Role-playing (RPG), Strategy","PC (Microsoft Windows), Mac","Action, Fantasy, Science fiction","post-apocalyptic, exploration, casual, character customization, magic, procedural generation, online co-op, pve, class-based, combat, team-based, online multiplayer, roguelite",STREAMSIX,,"Multiplayer, Co-operative, Massively Multiplayer Online (MMO)"
Box Knight,,,"Hack and slash/Beat 'em up, Indie",PC (Microsoft Windows),"Action, Comedy","roguelite, office, nextfest fall 2022",We Made A Thing Studios,Side view,Single player
Dungeongame,,,"Strategy, Indie",,Survival,"tower defense, roguelike, dungeon management, deck-building",,Bird view / Isometric,Multiplayer
High Dimension,,,"Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, roguelite",Daniel Schimit,Side view,Single player
Alterborn,,,"Shooter, Role-playing (RPG), Hack and slash/Beat 'em up, Adventure","PC (Microsoft Windows), PlayStation 5","Action, Fantasy, Science fiction, Mystery","aliens, post-apocalyptic, monsters, violence, bloody, brutal, character customization, drugs, dark, 3d, metroidvania, crafting, death, procedural generation, abandonware, difficult, real-time, supernatural, mature, gore, prehistoric, atmospheric, combat, choice and consequence, procedurally generated, inventory management, violent, choices matter, customization, loot gathering, gun, armor, alliance, profanity, real-time combat, canceled games, development hell, trail of death, corruption, brutality, roguelite, soulslike, bizarre, wasteland, choice matters, life and death, looter, meaningful choices, unforgiving, purgatory, looter shooter, replayability, monster hunter, customize, crazy, weapons, giant, replay value, monster, loot, plague",Iron Lung,Third person,Single player
Chroma Chronicles,,,"Fighting, Real Time Strategy (RTS), Strategy, Turn-based strategy (TBS), Indie, Card & Board Game",PC (Microsoft Windows),Fantasy,"turn-based, roguelike, pvp, turn-based tactics, free-to-play, digital distribution, card based combat, matchmaking",BoxBox Studios,Third person,Multiplayer
Afterschool! Survival Club,,,Adventure,,Survival,"zombies, casual, roguelike",,,
Feisty Fauna,,,Indie,PC (Microsoft Windows),Action,"roguelike, cute, roguelite, bullet heaven",AtasFun,Bird view / Isometric,"Single player, Multiplayer, Co-operative, Split screen"
ASV Trident,,,"Strategy, Indie",PC (Microsoft Windows),Science fiction,"spaceship, multiple endings, procedurally generated, roguelite, colony simulator",GaminsLab,,Single player
Soul Split,,,"Adventure, Indie","Linux, PC (Microsoft Windows)","Action, Fantasy, Mystery","magic, 3d, dark fantasy, difficult, stylized, atmospheric, combat, dungeon crawler, roguelite, lore rich, action roguelike",,Third person,Single player
Infinity Girl,,,"Racing, Indie",PC (Microsoft Windows),Action,"roguelike, procedural generation, music and rhythm, roguelite",Chroma Games,Third person,Single player
Talespinner,,,"Strategy, Indie","Linux, PC (Microsoft Windows)",,"roguelike, roguelike deckbuilder, card battler","Flash Cat Games, Kwalee",Side view,Single player
Vividerie,,,"Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, bullet hell, pixel graphics, colorful, action roguelike",,Bird view / Isometric,Single player
RealmLess,,,"Adventure, Indie",PC (Microsoft Windows),Action,roguelite,ChuYou,Third person,Single player
Sanity Break,,,"Role-playing (RPG), Card & Board Game","Android, iOS","Horror, Mystery","roguelike, lovecraftian, deck-building",,,Single player
Mirror of Immortality,,,"Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy, Open world","roguelike, permadeath, mythology, combat, co-op campaign",,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
I'm Not Jelly,,,"Role-playing (RPG), Hack and slash/Beat 'em up, Indie",PC (Microsoft Windows),"Action, Science fiction","roguelike, procedural generation, dungeon crawler",1 Simple Game,Third person,Single player
Super Ninja Noodle Chef,,,"Platform, Indie, Arcade",Web browser,Action,"retro, roguelike, satire, pixel art",,Side view,Single player
Rogue Janitor,,,"Role-playing (RPG), Indie",Web browser,,"roguelike, short, slice of life, relaxing, narrative, non-violent, wholesome",,,Single player
Bullet Express,,,Shooter,"Linux, PC (Microsoft Windows)","Action, Science fiction","upgradable equipment, upgradeable weapons, robot protagonist, roguelite",Lazy Gems,Bird view / Isometric,Single player
Rescue Squad Omega,,,Card & Board Game,"Linux, PC (Microsoft Windows), Mac",Science fiction,"roguelike, space, deck-building, deckbuilder",CriticalScrewUp,,Single player
Vigil,,,"Role-playing (RPG), Turn-based strategy (TBS), Adventure",PC (Microsoft Windows),Fantasy,roguelike,Ben Walter,Bird view / Isometric,Single player
The Remains of El Dorado,,,"Role-playing (RPG), Tactical, Indie",Web browser,,roguelike,,,Single player
Voidhunter,,,"Fighting, Role-playing (RPG), Hack and slash/Beat 'em up",,Action,roguelike,,,
Fyz and Now in Olympic Games of Tartarus,,,"Puzzle, Indie",,,roguelite,,,Single player
Rewriter,,,Indie,"Web browser, Linux, PC (Microsoft Windows), Mac",Action,roguelite,,Bird view / Isometric,Single player
30s Quest Tile,,,"Puzzle, Indie","Linux, Android, PC (Microsoft Windows), Mac",,roguelike,,,Single player
Enter the Chronosphere,,,"Role-playing (RPG), Strategy, Adventure, Indie","Web browser, PC (Microsoft Windows), Mac",Action,"roguelike, turn-based tactics, roguelite","Effort Star, Joystick Ventures",Bird view / Isometric,Single player
DuckSoup Dungeon,,,"Platform, Role-playing (RPG), Indie","Web browser, PC (Microsoft Windows)",Action,roguelike,,Side view,Single player
Loot.io,,,"Fighting, Role-playing (RPG), Adventure, Indie",Web browser,Fantasy,"2d, death, pets, combat, melee combat, online multiplayer, customization, melee, player created party, swarming enemies, roguelite, 2d fighting, replayability",Other Ocean Interactive,Bird view / Isometric,Massively Multiplayer Online (MMO)
Swordcery,,,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy","roguelike, roguelite, soulslike",Temple Door Games,Bird view / Isometric,Single player
Geometric Sniper: Card Game,,,"Strategy, Indie, Card & Board Game",PC (Microsoft Windows),"Action, Thriller","casual, bloody, procedural generation, espionage, hand-drawn, card based combat, sniping, stealth kill, minimalistic graphics, roguelite, roguelike deckbuilder, card battler",YAW Studios,"First person, Bird view / Isometric",Single player
Project-Blemmyes,,,"Shooter, Platform, Indie",PC (Microsoft Windows),Action,"3d platformer, roguelite","Gamirror Games, TIGERCAT",Third person,"Single player, Multiplayer, Co-operative"
Trinity Archetype,,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Indie","Linux, PC (Microsoft Windows)","Fantasy, Party","character customization, 2d, roguelike, class-based, party-based, hand-drawn, customization, skill tree, roguelite, party customization, turn-based rpg",Machinator Corp,Side view,Single player
Gesuido,,,"Role-playing (RPG), Turn-based strategy (TBS), Tactical, Hack and slash/Beat 'em up",iOS,Fantasy,roguelike,Ryosuke Mihara,Bird view / Isometric,Single player
Margonem 2,,,"Adventure, Indie","Android, iOS",Fantasy,"roguelike, pixel art, dungeon crawler, deck-building",Garmory,First person,Single player
Untrue New World,,,"Role-playing (RPG), Simulator, Adventure, Indie",PC (Microsoft Windows),"Fantasy, Mystery","roguelike, story rich",kan.kikuchi,"First person, Virtual Reality",Single player
Sub Commander,,,Simulator,,"Survival, Open world, Warfare","roguelike, submarine",,"Bird view / Isometric, Text",Single player
Code: Star Dungeon,,,Indie,PC (Microsoft Windows),,"roguelite, action roguelite",,Bird view / Isometric,Single player
Light2Live,,,"Adventure, Indie",PC (Microsoft Windows),"Action, Mystery","roguelike, procedural generation, roguelite",,Third person,"Single player, Multiplayer, Co-operative"
Wastehaven,,,"Racing, Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),"Action, Survival","zombies, vehicular combat, post-apocalyptic, 3d, roguelike, runner, old school, action-adventure, pve, combat, road trip, off-roading, combat racing, wasteland",Lifetap Studios,"Third person, Bird view / Isometric",Single player
Beneath the Nexus,,,"Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy","roguelike, fast paced, permadeath, bullet hell, pve, dungeon crawler, player vs environment",ACED Games LLC,Bird view / Isometric,Massively Multiplayer Online (MMO)
Command Heroes,,,"Platform, Real Time Strategy (RTS), Strategy, Indie","PC (Microsoft Windows), Mac","Action, Science fiction, Warfare","character customization, roguelike, pvp, resource management, pve, local multiplayer, base building, team-based, family friendly, 2d platformer, co-op campaign, twin stick control, controller support",VCIOUS Labs,Side view,"Single player, Multiplayer, Co-operative, Split screen, Battle Royale"
Katabasis: Monsters Arise,,,"Role-playing (RPG), Adventure",PC (Microsoft Windows),Fantasy,roguelike,Paidia Entertainment,Third person,Single player
Blacksmith Bay,,,"Role-playing (RPG), Simulator, Adventure, Indie",PC (Microsoft Windows),Fantasy,"3d, roguelike, crafting, relaxing, dungeon crawler, crowdfunding - kickstarter",562 Interactive,Bird view / Isometric,Single player
Timmy's Nightmare,,,"Strategy, Adventure, Indie",PC (Microsoft Windows),Action,roguelike,Typhon Studios,Bird view / Isometric,Single player
Tribes of Tis'te,,,"Point-and-click, Platform, Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy, Drama, Open world, 4X (explore, expand, exploit, and exterminate)","anime, medieval, magic, 2d, roguelike, choose your own adventure, crafting, female protagonist, multiple endings, pixel graphics, non-linear, story rich, choices matter, roguelite, soulslike, conversation, political simulation","Game Design Guru, Lyfe.Games",Side view,Single player
The Last Flower,,,"Shooter, Indie, Arcade","PC (Microsoft Windows), Mac",Action,"roguelike, roguelite",Tyler Haddad,Bird view / Isometric,Single player
SH1-R0,,,"Platform, Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie",PC (Microsoft Windows),"Action, Science fiction","2d, roguelike, metroidvania, difficult, futuristic, female protagonist, pixel graphics, roguelite",Tier 21,Side view,Single player
GunHowl,,,"Platform, Indie","PC (Microsoft Windows), Mac",Action,"fast paced, roguelite",kebabskal,Side view,Single player
Wicked Lands,,,"Strategy, Turn-based strategy (TBS), Tactical, Adventure, Indie",PC (Microsoft Windows),Fantasy,"roguelike, roguelite",Hugging Dragons,Bird view / Isometric,Single player
Fiend's Isle,,,"Role-playing (RPG), Adventure","Linux, PC (Microsoft Windows)",Action,"roguelike, procedurally generated, randomly generated maps",iwilliams,First person,Single player
Hex & Agon,,,"Platform, Indie",,Mystery,roguelite,Unicae Games,Side view,Single player
NeverMore,,,Indie,PC (Microsoft Windows),Fantasy,roguelite,BraveBear Studios,Third person,Single player
Xenoscape,,,"Role-playing (RPG), Indie","Web browser, PC (Microsoft Windows), Mac","Action, Science fiction, Survival","roguelike, bullet hell, pixel art",XenoScapeTeam,Bird view / Isometric,Single player
Being & Becoming,,,"Platform, Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy","roguelike, metroidvania, pixel graphics, soulslike","Critical Reflex, Ichthys",Side view,Single player
Blu: Chronicles of Talpa,,,"Platform, Hack and slash/Beat 'em up, Adventure, Indie",PC (Microsoft Windows),Action,"ninja, roguelike, metroidvania, crowdfunding - kickstarter","MyOwnGames, Damian Robinet",Side view,"Single player, Multiplayer, Co-operative"
Tiny Fantasy,,,"Tactical, Hack and slash/Beat 'em up, Adventure, Indie","Android, iOS","Action, Fantasy","roguelike, dungeon fighter",Minidragon,Bird view / Isometric,Single player
O.R.B. Offensive Rolling Bot,,,"Platform, Indie","PC (Microsoft Windows), Nintendo Switch","Action, Science fiction","2d, roguelike, metroidvania","Bonus Stage Publishing, karva games",Side view,Single player
Dreamshard: Deckbuilding Roguelike,,,"Role-playing (RPG), Strategy, Card & Board Game",PC (Microsoft Windows),Fantasy,"turn-based, roguelike, difficult, deck-building",Mad Robot Games,,Single player
Running Rogue,,,"Platform, Indie",PC (Microsoft Windows),Action,"parkour, roguelike",VSMOB,First person,Single player
Rogue Souls,,,"Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, action roguelike",,Bird view / Isometric,Single player
Oddinary Highway,,,"Shooter, Indie","PC (Microsoft Windows), Mac, Xbox One",Action,"bullet hell, roguelite",dash & dot game studio,Side view,"Single player, Multiplayer, Co-operative"
Jupiter Moons: Mecha,,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Indie, Card & Board Game","Linux, PC (Microsoft Windows), Nintendo Switch","Science fiction, Warfare","mech, roguelike, turn-based tactics, roguelite, deck-building",RockAndBushes,First person,Single player
Gardeniampoule,,,Role-playing (RPG),"PC (Microsoft Windows), Nintendo Switch",,"roguelike, dungeon crawler",CAVYHOUSE,Third person,Single player
Mystiqa,,,"Role-playing (RPG), Adventure, Indie","Linux, PC (Microsoft Windows), Mac",Action,"roguelike, action-adventure, pixel graphics, crowdfunding - kickstarter, roguelite, zelda-like","Julian Creutz, Hound Picked Games",Bird view / Isometric,"Single player, Multiplayer, Co-operative"
